id,nombre,apellidos,edad,salario,deudas,retencionFuente,cargo,correo,telefono
711,Pedro,Ruiz Espinosa,24,10215748,True,2.21,Desarrollador,329035787
1587,Liliana,Araya Bravo,21,7104930,False,7.14,Arquitecto,331781835
363,Daniela,Henao Carvajal,37,10251774,False,7.47,Junior,325917474
1267,Emilio,Molina Araya,29,4595168,True,8.2,Desarrollador,326565440
1108,Luis Miguel,Ramirez Torres,19,8756776,True,1.25,Intermedio,332416850
1977,Marina,Araya Bravo,26,5483922,True,4.22,Desarrollador,315693329
1880,Clara,Rojas Vargas,23,10676734,False,6.56,Avanzado,339219329
1407,Guillermo,Gallego Henao,45,9311049,False,4.79,Intermedio,327097099
273,Diego,Castro Soto,21,8966419,False,3.85,Avanzado,316510808
1190,Beatriz,Torres Morales,19,12360604,False,1.33,Desarrollador,326597842
421,Jaime,López Martínez,28,11583680,True,3.77,Desarrollador,318975656
874,Juan,Mejis Yepez,19,6836435,True,1.72,Desarrollador,318629660
643,Sergio,Sánchez López,22,6472064,True,6.37,Avanzado,324825733
654,Hernán,Torres Morales,44,9104743,True,1.19,Junior,324825733
122,Monica,Ramirez Torres,30,9515836,True,4.67,Desarrollador,334932009
1275,Laura,Delgado Valenzuela,46,12619139,True,3.31,Intermedio,323607712
1222,Rodrigo,Delgado Valenzuela,38,9352604,True,9.43,Intermedio,336343003
280,Eugenia,Mejis Yepez,21,13652648,False,3.57,Junior,308744506
334,Antonio,Jiménez Ruiz,46,13644657,True,7.85,Desarrollador,308051136
1129,Gonzalo,Espinosa Herrera,20,7316019,True,2.61,Desarrollador,327466628
560,Nadia,Medina Ortega,22,3559976,False,0.65,Desarrollador,312244732
548,Michelle,Campos Mendoza,18,14764241,False,3.63,Desarrollador,326597842
1094,Susana,Pérez González,18,5591505,False,7.81,Avanzado,307928648
581,Martín,Pérez González,35,3898226,True,4.35,Avanzado,326251316
167,Rocio,Jiménez Ruiz,24,4625010,True,8.02,Intermedio,326565440
